symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_last_accumulated_quantity,order_trade_time,usd_size
WCT,SELL,LIMIT,IOC,3264,0.3226000,0.3257348,FILLED,2086,3264,1756103583557,1052.9664
ONT,BUY,LIMIT,IOC,5285.7,0.2038,0.2007,FILLED,3569.1,5285.7,1756103587292,1077.22566
MILK,SELL,LIMIT,IOC,8,0.0403800,0.0407600,FILLED,8,8,1756103588097,0.32304
ONT,BUY,LIMIT,IOC,108.7,0.2039,0.2010,FILLED,108.7,108.7,1756103588321,22.16393
SOON,SELL,LIMIT,IOC,883,0.2375100,0.2393300,FILLED,686,883,1756103589255,209.72133
AI16Z,SELL,LIMIT,IOC,11776.5,0.1178000,0.1195000,FILLED,11776.5,11776.5,1756103590276,1387.2717
MILK,SELL,LIMIT,IOC,235579,0.0401600,0.0406844,FILLED,6518,235579,1756103590303,9460.852640000001
DOGE,SELL,LIMIT,IOC,35293,0.222820,0.224290,FILLED,416,35293,1756103591035,7863.98626
ENA,SELL,LIMIT,IOC,6313,0.6584000,0.6648000,FILLED,6313,6313,1756103591238,4156.4792
KNC,SELL,LIMIT,IOC,1834,0.38860,0.39454,FILLED,142,1834,1756103591335,712.6924
SOL,SELL,LIMIT,IOC,0.11,201.9700,202.9900,FILLED,0.11,0.11,1756103591354,22.2167
HUMA,SELL,LIMIT,IOC,74912,0.0253280,0.0255674,FILLED,433,74912,1756103591456,1897.371136
1000PEPE,SELL,LIMIT,IOC,66014,0.0104668,0.0105326,FILLED,66014,66014,1756103591548,690.9553352
XLM,SELL,LIMIT,IOC,38908,0.39384,0.39850,FILLED,1922,38908,1756103592041,15323.526720000002
AI16Z,SELL,LIMIT,IOC,5041.3,0.1177000,0.1195000,FILLED,5041.3,5041.3,1756103592043,593.36101
MILK,SELL,LIMIT,IOC,15977,0.0402200,0.0407193,FILLED,3716,15977,1756103592171,642.59494
SSV,SELL,LIMIT,IOC,32.58,9.203000,9.294000,FILLED,11.65,32.58,1756103592375,299.83374
FHE,SELL,LIMIT,IOC,1108,0.0593900,0.0602700,FILLED,1108,1108,1756103592375,65.80412
XNY,SELL,LIMIT,IOC,15893,0.0068350,0.0069350,FILLED,15893,15893,1756103592375,108.628655
1000CAT,SELL,LIMIT,IOC,905,0.0081780,0.0082550,FILLED,905,905,1756103592542,7.40109
1000PEPE,SELL,LIMIT,IOC,1294062,0.0104621,0.0105260,FILLED,16398,1294062,1756103593159,13538.6060502
BTC,SELL,LIMIT,IOC,0.127,111700.40,112132.75,FILLED,0.013,0.127,1756103593222,14185.950799999999
